#Variables:
#tasmax_GFDL-ESM2M_historical(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 43.3961 Latitude, -72.0647 Longitude (closest value to Latitude:43.3901, Longitude:-72.0543) "
#Original Data File(s):
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_GFDL-ESM2M_historical(K)"
1950-09-22,288.942444
1950-09-23,287.163391
1950-09-24,286.411743
1950-09-25,288.822937
1950-09-26,292.926117
1950-09-27,293.152313
1950-09-28,291.142792
1950-09-29,291.075684
1950-09-30,286.165741
1950-10-01,289.403046
1950-10-02,284.699860
1950-10-03,286.663879
1950-10-04,284.430725
1950-10-05,285.676544
1950-10-06,288.097473
1950-10-07,291.957214
1950-10-08,292.238892
1950-10-09,289.566589
1950-10-10,286.882294
1950-10-11,287.642578
1950-10-12,278.780151
1950-10-13,281.783478
1950-10-14,279.608429
1950-10-15,283.429108
1950-10-16,282.981171
1950-10-17,284.518646
1950-10-18,282.526642
1950-10-19,281.522339
1950-10-20,281.988037
1950-10-21,282.462311
1950-10-22,282.680725
1950-10-23,283.449646
1950-10-24,281.946289
1950-10-25,279.874390
1950-10-26,280.045959
1950-10-27,286.346802
1950-10-28,284.475037
1950-10-29,284.135590
1950-10-30,282.199402
1950-10-31,279.767792
1950-11-01,281.367462
1950-11-02,284.568634
1950-11-03,280.991455
1950-11-04,288.139557
1950-11-05,289.772278
1950-11-06,278.880859
1950-11-07,278.795624
1950-11-08,283.805450
1950-11-09,282.744690
1950-11-10,276.515869
1950-11-11,277.093750
1950-11-12,277.967468
1950-11-13,274.543213
1950-11-14,272.746063
1950-11-15,281.202759
1950-11-16,281.201538
1950-11-17,280.360504
1950-11-18,284.001862
1950-11-19,282.235291
1950-11-20,280.273834
1950-11-21,276.083282
1950-11-22,281.798553
1950-11-23,279.505981
1950-11-24,275.276428
1950-11-25,276.565186
1950-11-26,286.220367
1950-11-27,291.739441
1950-11-28,277.795044
1950-11-29,277.967804
1950-11-30,275.792328
1950-12-01,280.923615
1950-12-02,267.131256
1950-12-03,266.362274
1950-12-04,265.131866
1950-12-05,269.705933
1950-12-06,276.454773
1950-12-07,279.019958
1950-12-08,275.174896
1950-12-09,274.630463
1950-12-10,276.470917
1950-12-11,281.030151
1950-12-12,273.491486
1950-12-13,271.194489
1950-12-14,270.451233
1950-12-15,261.787750
1950-12-16,263.430176
1950-12-17,264.016754
1950-12-18,269.974060
1950-12-19,272.030426
1950-12-20,271.943146
1950-12-21,268.660400
1950-12-22,277.305054
1950-12-23,278.006348
1950-12-24,264.706360
1950-12-25,272.967041
1950-12-26,276.255737
1950-12-27,277.689148
1950-12-28,278.619873
1950-12-29,281.814880
1950-12-30,271.827667
1950-12-31,274.708862
1951-01-01,276.215546
1951-01-02,274.801361
1951-01-03,272.449158
1951-01-04,272.736023
1951-01-05,274.146027
1951-01-06,276.205048
1951-01-07,273.961639
1951-01-08,272.149323
1951-01-09,271.591492
1951-01-10,273.014648
1951-01-11,275.669342
1951-01-12,278.432831
1951-01-13,270.750854
1951-01-14,269.062378
1951-01-15,264.913391
1951-01-16,269.370575
1951-01-17,269.023193
1951-01-18,266.830719
1951-01-19,275.188171
1951-01-20,276.528534
1951-01-21,273.255493
1951-01-22,269.345520
1951-01-23,272.510681
1951-01-24,275.958679
1951-01-25,277.036652
1951-01-26,275.757965
1951-01-27,273.534302
1951-01-28,273.961578
1951-01-29,272.726257
1951-01-30,266.982239
1951-01-31,269.803345
1951-02-01,268.676575
1951-02-02,269.516205
1951-02-03,275.767456
1951-02-04,276.726257
1951-02-05,263.084106
1951-02-06,258.362549
1951-02-07,260.669678
1951-02-08,269.089081
1951-02-09,276.886047
1951-02-10,277.255371
1951-02-11,275.263580
1951-02-12,280.262390
1951-02-13,275.558960
1951-02-14,276.193665
1951-02-15,280.116943
1951-02-16,278.956573
1951-02-17,276.219543
1951-02-18,277.460876
1951-02-19,274.916626
1951-02-20,276.633636
1951-02-21,275.807068
1951-02-22,277.123840
1951-02-23,275.915497
1951-02-24,272.679626
1951-02-25,275.043854
1951-02-26,274.746063
1951-02-27,278.299469
1951-02-28,276.283264
1951-03-01,275.895477
1951-03-02,278.341553
1951-03-03,278.686523
1951-03-04,277.428589
1951-03-05,277.718994
1951-03-06,276.810669
1951-03-07,273.263275
1951-03-08,274.321350
1951-03-09,271.212006
1951-03-10,268.963348
1951-03-11,267.777313
1951-03-12,267.233612
1951-03-13,266.762573
1951-03-14,268.402924
1951-03-15,270.643127
1951-03-16,270.564209
1951-03-17,275.294952
1951-03-18,277.027618
1951-03-19,281.123352
1951-03-20,282.636169
1951-03-21,291.899475
1951-03-22,289.788666
1951-03-23,278.966919
1951-03-24,275.645447
1951-03-25,279.346191
1951-03-26,283.778076
1951-03-27,282.432739
1951-03-28,280.078461
1951-03-29,277.025513
1951-03-30,280.793030
1951-03-31,284.304077
1951-04-01,284.751251
1951-04-02,284.173737
1951-04-03,285.007538
1951-04-04,286.382416
1951-04-05,285.904572
1951-04-06,285.028656
1951-04-07,285.504120
1951-04-08,287.127625
1951-04-09,285.301514
1951-04-10,284.877472
1951-04-11,286.749603
1951-04-12,282.209137
1951-04-13,284.155792
1951-04-14,281.351929
1951-04-15,283.605530
1951-04-16,285.466949
1951-04-17,287.919037
1951-04-18,288.703735
1951-04-19,290.094238
1951-04-20,289.111298
1951-04-21,285.478882
1951-04-22,283.259338
1951-04-23,282.838409
1951-04-24,284.261810
1951-04-25,287.359161
1951-04-26,283.242218
1951-04-27,290.590637
1951-04-28,281.729218
1951-04-29,280.747070
1951-04-30,288.276123
1951-05-01,291.447784
1951-05-02,291.348145
1951-05-03,287.103485
1951-05-04,289.280487
1951-05-05,292.320221
1951-05-06,292.514771
1951-05-07,292.380859
1951-05-08,289.750580
1951-05-09,287.466949
1951-05-10,282.957367
1951-05-11,289.059540
1951-05-12,289.995209
1951-05-13,288.950867
1951-05-14,289.740326
1951-05-15,290.388123
1951-05-16,288.841034
1951-05-17,287.237488
1951-05-18,287.527161
1951-05-19,289.973022
1951-05-20,289.551392
1951-05-21,291.652069
1951-05-22,292.393677
1951-05-23,294.087189
1951-05-24,288.440247
1951-05-25,291.600555
1951-05-26,291.316437
1951-05-27,293.903564
1951-05-28,297.029968
1951-05-29,288.937317
1951-05-30,295.443176
1951-05-31,289.480988
1951-06-01,288.629761
1951-06-02,289.527466
1951-06-03,292.456085
1951-06-04,290.016876
1951-06-05,295.568604
1951-06-06,289.795319
1951-06-07,288.680695
1951-06-08,289.464722
1951-06-09,291.080170
1951-06-10,292.269165
1951-06-11,293.649536
1951-06-12,295.600739
1951-06-13,294.852325
1951-06-14,296.184814
1951-06-15,296.020264
1951-06-16,296.765930
1951-06-17,295.064270
1951-06-18,297.823944
1951-06-19,297.108368
1951-06-20,298.209015
1951-06-21,292.920868
1951-06-22,294.367188
1951-06-23,293.778534
1951-06-24,291.885712
1951-06-25,289.097656
1951-06-26,288.354889
1951-06-27,290.008789
1951-06-28,292.564148
1951-06-29,291.773346
1951-06-30,291.983307
1951-07-01,296.731628
1951-07-02,298.958466
1951-07-03,298.056274
1951-07-04,296.778839
1951-07-05,296.930054
1951-07-06,298.097260
1951-07-07,299.067200
1951-07-08,298.080383
1951-07-09,299.588287
1951-07-10,301.150452
1951-07-11,302.633820
1951-07-12,302.406128
1951-07-13,301.293091
1951-07-14,302.661346
1951-07-15,302.056763
1951-07-16,301.273529
1951-07-17,298.796753
1951-07-18,295.326019
1951-07-19,297.523712
1951-07-20,298.375244
1951-07-21,296.550446
1951-07-22,295.424622
1951-07-23,300.569702
1951-07-24,301.783813
1951-07-25,299.987793
1951-07-26,299.028442
1951-07-27,299.059998
1951-07-28,301.286530
1951-07-29,300.434631
1951-07-30,297.415070
1951-07-31,297.897949
1951-08-01,297.468414
1951-08-02,296.163574
1951-08-03,301.322388
1951-08-04,302.148987
1951-08-05,302.958160
1951-08-06,302.335907
1951-08-07,297.406769
1951-08-08,296.640961
1951-08-09,295.776855
1951-08-10,295.914307
1951-08-11,301.401489
1951-08-12,301.852356
1951-08-13,301.317902
1951-08-14,301.073212
1951-08-15,297.183228
1951-08-16,295.540405
1951-08-17,296.852142
1951-08-18,297.538269
1951-08-19,296.742889
1951-08-20,293.255066
1951-08-21,293.326263
1951-08-22,294.374725
1951-08-23,295.360992
1951-08-24,296.148773
1951-08-25,301.544861
1951-08-26,300.549377
1951-08-27,297.767883
1951-08-28,292.804962
1951-08-29,290.421173
1951-08-30,290.426636
1951-08-31,292.835968
1951-09-01,293.181244
1951-09-02,292.050964
1951-09-03,292.706604
1951-09-04,295.450623
1951-09-05,298.040070
1951-09-06,296.930084
1951-09-07,294.587250
1951-09-08,292.902466
1951-09-09,292.873474
1951-09-10,293.526245
1951-09-11,291.969879
1951-09-12,289.890045
1951-09-13,293.032837
1951-09-14,293.240082
1951-09-15,291.077637
1951-09-16,295.839935
1951-09-17,295.683838
1951-09-18,298.562683
1951-09-19,299.556854
1951-09-20,300.858521
1951-09-21,300.592743
1951-09-22,300.294067
1951-09-23,300.476105
1951-09-24,298.793274
1951-09-25,297.025970
1951-09-26,296.908936
1951-09-27,296.190643
1951-09-28,298.375580
1951-09-29,299.317047
1951-09-30,297.295898
1951-10-01,299.219971
1951-10-02,298.718018
1951-10-03,298.537628
1951-10-04,294.020447
1951-10-05,292.931183
1951-10-06,289.563995
1951-10-07,285.264404
1951-10-08,289.751984
1951-10-09,291.889954
1951-10-10,291.652557
1951-10-11,289.693909
1951-10-12,289.503052
1951-10-13,287.932251
1951-10-14,285.732361
1951-10-15,284.528198
1951-10-16,293.354797
1951-10-17,292.158966
1951-10-18,288.090912
1951-10-19,291.362946
1951-10-20,291.077179
1951-10-21,293.183105
1951-10-22,286.321167
1951-10-23,281.882202
1951-10-24,285.116913
1951-10-25,289.766541
1951-10-26,291.434509
1951-10-27,295.218231
1951-10-28,295.810547
1951-10-29,295.452515
1951-10-30,294.718079
1951-10-31,289.033051
1951-11-01,288.818848
1951-11-02,290.207275
1951-11-03,282.904114
1951-11-04,283.245300
1951-11-05,284.386292
1951-11-06,284.712555
1951-11-07,282.400513
1951-11-08,280.697052
1951-11-09,280.664703
1951-11-10,283.569672
1951-11-11,281.482056
1951-11-12,282.096741
1951-11-13,282.625977
1951-11-14,281.059326
1951-11-15,284.605560
1951-11-16,283.008972
1951-11-17,282.036316
1951-11-18,277.654572
1951-11-19,281.293335
1951-11-20,279.919525
1951-11-21,278.350708
1951-11-22,277.470825
1951-11-23,273.219238
1951-11-24,271.983856
1951-11-25,274.140503
1951-11-26,275.715057
1951-11-27,275.739746
1951-11-28,274.262573
1951-11-29,275.028687
1951-11-30,277.187927
1951-12-01,276.338257
1951-12-02,274.215698
1951-12-03,273.174225
1951-12-04,272.024017
1951-12-05,270.910858
1951-12-06,271.218994
1951-12-07,274.685852
1951-12-08,275.757355
1951-12-09,277.639740
1951-12-10,281.002472
1951-12-11,272.355957
1951-12-12,267.208252
1951-12-13,273.548553
1951-12-14,274.029388
1951-12-15,272.974335
1951-12-16,271.509583
1951-12-17,273.906189
1951-12-18,274.826752
1951-12-19,274.050781
1951-12-20,275.068512
1951-12-21,277.648407
1951-12-22,269.859497
1951-12-23,266.432922
1951-12-24,267.726135
1951-12-25,273.094666
1951-12-26,274.955017
1951-12-27,275.389374
1951-12-28,272.903290
1951-12-29,271.610779
1951-12-30,269.095490
1951-12-31,272.100922
1952-01-01,275.405518
1952-01-02,275.736633
1952-01-03,285.283173
1952-01-04,278.062347
1952-01-05,274.466705
1952-01-06,275.262085
1952-01-07,272.901703
1952-01-08,259.767120
1952-01-09,269.041962
1952-01-10,271.389679
1952-01-11,271.689178
1952-01-12,272.396667
1952-01-13,272.135132
1952-01-14,266.251068
1952-01-15,260.687286
1952-01-16,264.937805
1952-01-17,271.318970
1952-01-18,272.828583
1952-01-19,276.808136
1952-01-20,276.777832
1952-01-21,278.278412
1952-01-22,274.554199
1952-01-23,268.815399
1952-01-24,272.559418
1952-01-25,273.942108
1952-01-26,271.641541
1952-01-27,277.541870
1952-01-28,277.007874
1952-01-29,274.400024
1952-01-30,274.558258
1952-01-31,276.812897
1952-02-01,278.176758
1952-02-02,278.526428
1952-02-03,280.905884
1952-02-04,275.392914
1952-02-05,276.692383
1952-02-06,277.718231
1952-02-07,276.840637
1952-02-08,270.597137
1952-02-09,271.825958
1952-02-10,271.717468
1952-02-11,271.144531
1952-02-12,270.631470
1952-02-13,273.148315
1952-02-14,273.362152
1952-02-15,273.540283
1952-02-16,272.762756
1952-02-17,273.445099
1952-02-18,274.912445
1952-02-19,274.694092
1952-02-20,275.277771
1952-02-21,277.470215
1952-02-22,276.080292
1952-02-23,270.661133
1952-02-24,271.098175
1952-02-25,272.144562
1952-02-26,274.913147
1952-02-27,274.780212
1952-02-28,274.789795
1952-02-29,276.338928
1952-03-01,277.888092
1952-03-02,281.971924
1952-03-03,284.516693
1952-03-04,275.551849
1952-03-05,273.572510
1952-03-06,282.569153
1952-03-07,280.856598
1952-03-08,283.061707
1952-03-09,291.661072
1952-03-10,294.861969
1952-03-11,287.175446
1952-03-12,280.383331
1952-03-13,278.833496
1952-03-14,276.980804
1952-03-15,277.449890
1952-03-16,278.216370
1952-03-17,283.971588
1952-03-18,282.947723
1952-03-19,282.873474
1952-03-20,280.438538
1952-03-21,281.757507
1952-03-22,285.742950
1952-03-23,293.015320
1952-03-24,287.450775
1952-03-25,287.351746
1952-03-26,291.827118
1952-03-27,286.638000
1952-03-28,283.491943
1952-03-29,285.464966
1952-03-30,284.330780
1952-03-31,284.616058
1952-04-01,283.764740
1952-04-02,283.286407
1952-04-03,285.997284
1952-04-04,287.476379
1952-04-05,286.411743
1952-04-06,279.767517
1952-04-07,283.828796
1952-04-08,287.142853
1952-04-09,294.457581
1952-04-10,291.476807
1952-04-11,291.012390
1952-04-12,288.719513
1952-04-13,284.885712
1952-04-14,283.390198
1952-04-15,286.547729
1952-04-16,284.625732
1952-04-17,281.999146
1952-04-18,285.971283
1952-04-19,286.945740
1952-04-20,283.678467
1952-04-21,288.940796
1952-04-22,293.402771
1952-04-23,292.608795
1952-04-24,291.897888
1952-04-25,290.396667
1952-04-26,288.143738
1952-04-27,286.034241
1952-04-28,286.395325
1952-04-29,288.533142
1952-04-30,291.676117
1952-05-01,288.721771
1952-05-02,290.691467
1952-05-03,290.032837
1952-05-04,288.395691
1952-05-05,295.437866
1952-05-06,295.357605
1952-05-07,292.334839
1952-05-08,291.959625
1952-05-09,295.820953
1952-05-10,295.243347
1952-05-11,293.404877
1952-05-12,294.120148
1952-05-13,293.693909
1952-05-14,294.307434
1952-05-15,296.151428
1952-05-16,296.162506
1952-05-17,297.230621
1952-05-18,300.972748
1952-05-19,300.962128
1952-05-20,299.809570
1952-05-21,298.017944
1952-05-22,293.246979
1952-05-23,292.131775
1952-05-24,297.107239
1952-05-25,296.524414
1952-05-26,299.297455
1952-05-27,298.946503
1952-05-28,297.724274
1952-05-29,300.863525
1952-05-30,300.078186
1952-05-31,294.841156
1952-06-01,299.282166
1952-06-02,301.580017
1952-06-03,297.102661
1952-06-04,294.988342
1952-06-05,295.400146
1952-06-06,297.212585
1952-06-07,295.336609
1952-06-08,298.332397
1952-06-09,300.432953
1952-06-10,299.415558
1952-06-11,296.704590
1952-06-12,290.172638
1952-06-13,296.256287
1952-06-14,300.056396
1952-06-15,302.214569
1952-06-16,301.965302
1952-06-17,300.680939
1952-06-18,304.962219
1952-06-19,305.829102
1952-06-20,306.196381
1952-06-21,305.328583
1952-06-22,304.225220
1952-06-23,305.009766
1952-06-24,301.346771
1952-06-25,296.250763
1952-06-26,296.003326
1952-06-27,295.189178
1952-06-28,297.092255
1952-06-29,299.697479
1952-06-30,297.702209
1952-07-01,295.276337
1952-07-02,293.520844
1952-07-03,293.687134
1952-07-04,299.138672
1952-07-05,301.070526
1952-07-06,302.590088
1952-07-07,302.664734
1952-07-08,301.468994
1952-07-09,300.557587
1952-07-10,302.554321
1952-07-11,301.542358
1952-07-12,297.465912
1952-07-13,296.908875
1952-07-14,300.089142
1952-07-15,299.522278
1952-07-16,298.580627
1952-07-17,295.761383
1952-07-18,298.262482
1952-07-19,301.522858
1952-07-20,301.647552
1952-07-21,301.316467
1952-07-22,300.658661
1952-07-23,300.178955
1952-07-24,301.271667
1952-07-25,302.379822
1952-07-26,300.364532
1952-07-27,299.728912
1952-07-28,301.113373
1952-07-29,302.545868
1952-07-30,301.835815
1952-07-31,300.566925
1952-08-01,301.621613
1952-08-02,304.484283
1952-08-03,303.024597
1952-08-04,299.730133
1952-08-05,303.979279
1952-08-06,304.575348
1952-08-07,305.355896
1952-08-08,305.787384
1952-08-09,304.581604
1952-08-10,301.865143
1952-08-11,297.368286
1952-08-12,294.606354
1952-08-13,293.720062
1952-08-14,295.178894
1952-08-15,296.868042
1952-08-16,300.117096
1952-08-17,301.520660
1952-08-18,300.774811
1952-08-19,298.095306
1952-08-20,300.124634
1952-08-21,299.642334
1952-08-22,300.082062
1952-08-23,299.533691
1952-08-24,298.690887
1952-08-25,301.079071
1952-08-26,302.470734
1952-08-27,302.765350
1952-08-28,301.357788
1952-08-29,294.825226
1952-08-30,299.193298
1952-08-31,300.396790
1952-09-01,301.797668
1952-09-02,300.185883
1952-09-03,295.859436
1952-09-04,299.507324
1952-09-05,301.224365
1952-09-06,302.826263
1952-09-07,301.806946
1952-09-08,300.454071
1952-09-09,300.993530
1952-09-10,300.808228
1952-09-11,299.055664
1952-09-12,293.505554
1952-09-13,299.049133
1952-09-14,301.549652
1952-09-15,300.120850
1952-09-16,299.044647
1952-09-17,295.921539
1952-09-18,292.627869
1952-09-19,294.516205
1952-09-20,295.734894
1952-09-21,294.220642
1952-09-22,289.654968
1952-09-23,289.675873
1952-09-24,291.809692
1952-09-25,291.001862
1952-09-26,291.742249
1952-09-27,297.652039
1952-09-28,297.843079
1952-09-29,293.499329
1952-09-30,292.041260
1952-10-01,291.061340
1952-10-02,285.592682
1952-10-03,287.606110
1952-10-04,286.803833
1952-10-05,286.875275
1952-10-06,286.788269
1952-10-07,282.741882
1952-10-08,284.986572
1952-10-09,286.682190
1952-10-10,284.928009
1952-10-11,281.214813
1952-10-12,281.121918
1952-10-13,283.154816
1952-10-14,282.719208
1952-10-15,281.680450
1952-10-16,279.948517
1952-10-17,282.195129
1952-10-18,285.414429
1952-10-19,287.734100
1952-10-20,287.969330
1952-10-21,287.015350
1952-10-22,281.702576
1952-10-23,286.949921
1952-10-24,285.031189
1952-10-25,282.197021
1952-10-26,280.425659
1952-10-27,282.432434
1952-10-28,282.372803
1952-10-29,282.732605
1952-10-30,281.582062
1952-10-31,282.574493
1952-11-01,286.708069
1952-11-02,283.599762
1952-11-03,287.668762
1952-11-04,289.729431
1952-11-05,283.830902
1952-11-06,289.726318
1952-11-07,280.961945
1952-11-08,274.506409
1952-11-09,280.513397
1952-11-10,282.900940
1952-11-11,286.811462
1952-11-12,287.481689
1952-11-13,278.770630
1952-11-14,279.512482
1952-11-15,285.610992
1952-11-16,291.759369
1952-11-17,280.026154
1952-11-18,274.724213
1952-11-19,272.326965
1952-11-20,274.127716
1952-11-21,268.630463
1952-11-22,271.329529
1952-11-23,275.321686
1952-11-24,278.767487
1952-11-25,278.192078
1952-11-26,274.689331
1952-11-27,272.710968
1952-11-28,274.925415
1952-11-29,280.673309
1952-11-30,285.326416
1952-12-01,275.318512
1952-12-02,272.303711
1952-12-03,268.637512
1952-12-04,267.554352
1952-12-05,270.982422
1952-12-06,263.964355
1952-12-07,265.283478
1952-12-08,267.878937
1952-12-09,268.010803
1952-12-10,270.227692
1952-12-11,274.138641
1952-12-12,275.656342
1952-12-13,273.678680
1952-12-14,273.659302
1952-12-15,272.298218
1952-12-16,274.129028
1952-12-17,264.503387
1952-12-18,260.049713
1952-12-19,269.033264
1952-12-20,271.688599
1952-12-21,265.402283
1952-12-22,269.349335
1952-12-23,266.886353
1952-12-24,267.526703
1952-12-25,267.848267
1952-12-26,268.692200
1952-12-27,266.192261
1952-12-28,264.714905
1952-12-29,267.641235
1952-12-30,266.262848
1952-12-31,266.636139
1953-01-01,266.028961
1953-01-02,270.617157
1953-01-03,270.762970
1953-01-04,271.473328
1953-01-05,265.466980
1953-01-06,272.732178
1953-01-07,263.937073
1953-01-08,274.573364
1953-01-09,276.622620
1953-01-10,259.414062
1953-01-11,258.335938
1953-01-12,270.419983
1953-01-13,273.641998
1953-01-14,274.993195
1953-01-15,271.088776
1953-01-16,275.324341
1953-01-17,275.293121
1953-01-18,276.452850
1953-01-19,276.053223
1953-01-20,275.648376
1953-01-21,278.363770
1953-01-22,263.228271
1953-01-23,266.117981
1953-01-24,269.905518
1953-01-25,281.637177
1953-01-26,280.671692
1953-01-27,275.090027
1953-01-28,262.474060
1953-01-29,258.978027
1953-01-30,258.063965
